"id","Product_ID","SKU_ID","Store_ID","Time_ID","Supplier_ID","Warehouse_ID","PO_ID","Sales_Transaction_ID","Quantity_Sold","Unit_Price","Discount_Amount","Sales_Revenue","Tax_Amount","Net_Sales_Value","Payment_Type","Date_ID","Return_Qty","Return_ID","Customer_ID","Event_ID","Quantity_Return","Return_Reason","Return_Type","Refund_Amount","Return_Status","Return_Method","Inspection","Loss_Value","Forecast_Method","Forecast_Model_Name","Forecast_Period_Start","Forecast_Period_End","Forecast_Quantity","Actual_Quantity","Forecast_Error_Pct","Forecast_Error_Value","Demand_Variance","Model_Version","Model_Accuracy_Score","Last_Trained_Date","Indicator_ID","Indicator_Value","Trend_Direction","Expected_Crowd_Index","Stock_On_Hand","Stock_In_Transit","Reserved_Stock","Damaged_Stock","Expiry_Date","Batch_Number","On_Hand_Quantity","Reserved_Quantity","Available_Quantity","Safety_Stock_Level","Reorder_Point","Stock_Status","Movement_ID","Movement_Type","Movement_Quantity","Movement_Time","Source_Location","Destination_Location","Ordered_Qty","Unit_Cost","Total_PO_Value","Order_Status","Lead_Time_Days","Fulfillment_ID","Received_Quantity","Rejected_Quantity","Delivery_Date","Delivery_Delay_Days","Quality_Inspection_Result","Recommendation_ID","Current_Stock","Safety_Stock","Recommended_Order_Quantity","Recommended_Order_Date","Stockout_Risk","On_Time_Delivery_Rate","Average_Delivery_Delay","Defect_Rate","Fill_Rate","Order_Accuracy","Supplier_Rating","On_Time_Delivery_Flag","Delay_Days","Quality_Score","Quality_Rating","Delivery_Rating","Cost_Rating","Reliability_Score","Trend_ID","Platform_ID","Keyword_ID","Search_Volume_Index","Mention_Count","Engagement_Score","Trend_Velocity","Sentiment_Score","Viral_Index","Warehouse_Stock_ID","Bin_ID","WH_Quantity_On_Hand","Quantity_Picked","Quantity_Received","Quantity_Damaged","Weather_ID","Location_ID","Temperature","Humidity","Rainfall_mm","Wind_Speed","Weather_Condition","Demand_Impact_Score","Heat_Index","Extreme_Weather_Flag","Weather_Severity_Score","Strategy_ID","SKU_Code","Product Name","Brand","Category","Subcategory","Launch_Date","Shelf Life Days","Unit of Measure","Status","Demand_Sensitivity","Store_Type","Store_Name","Area_sqft","Opening_Date","Manager_Name","Contact_Number","Operating_Hours","Is_Active","Date","Day","Week_Number","Month","Quarter","Season","Year","Supplier_Name","Supplier_Type","Supplier_Tier","Payment_Terms","Contract_ID","Contract_Type","Contract_Value","Minimum_Order_Quantity","Contract_Start_Date","Contract_End_Date","City","State","Country","Latitude","Longitude","Climate_Zone","delivery_zone","traffic_density","Warehouse_Name","Warehouse_Type","Capacity","Automation_Level","Cold_Storage_Availability","Event_Name","Event_Category","Event_Type","Event_Description","Event_Start_Date","Event_End_Date","Venue","Wind_Speed_Category","Inventory_Location_ID","Location_Type","Storage_Type","Cold_Storage_Flag","Stock_Level","Inventory_Status","Last_Updated","Strategy_Name","Strategy_Type","Safety_Stock_Formula","Lead_Time_Adjustment","Supplier_Performance_ID","Evaluation_Period","Platform_Name","Platform_Type","User_Base_Size","Indicator_Name","Indicator_Country","Update_Frequency","Keyword_Text","Product_Category","Trend_Category","Storage_Bin_Type","Storage_Bin_Capacity","Temperature_Zone","Promotion_ID","Promotion_Name","Promotion_Type","Promotion_Start_Date","Promotion_End_Date","Discount_Percent","Campaign_ID","Promotion_Is_Active"
"4526","P_000084","SKU-579","S_000278","T_000195","SUP_0493","W_0001","PO_000006","TRAN_000253","2","579.06","93.01","972.1","98.3","1070.4","Credit Card","D_20221210","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"XGBoost","DFM_v2","18-02-26","20-03-26","559","492","11.99","67","1122.25","v8","0.83","10-02-26","IND_000085","4.64","Stable","61991","73","146","24","18","21-06-25","BATCH_5137","345","45","300","92","124","Normal",\N,\N,\N,\N,\N,\N,"325","24.09","7829.25","Cancelled","14","F_000105","156","0","13-01-24","9","Major Issues","R_000253","322","34","93","06-01-24","Low","0.99","2.28","0.009","0.83","0.87","4.1","Yes","0","4.18","3.61","3.09","4.54","83.38","TR_000253","PF_000107","K_000148","6053","1248","3.74","3.28","0.33","12.27","WS_0006","B_000040","390","57","456","9","WE_000140","L_000484","35.1","75","0.76","20.9","Sunny","-0.54","42.6","No","6","ST_000084","SKU-579","Unsalted Butter","UrbanGrind","Dairy","Butter","08-03-23","11","Grams","Active","High","Express","MegaStore 366","12427","09-04-20","Priya Singh","916538000000","9 AM - 9 PM","No","03-06-23","Saturday","22","June","2","Monsoon","2023","United Industries","Distributor","Tier 3","Net 45","C_000787","Long-Term","1398978","441","2020-01-26","2022-05-02","Calgary","Alberta","Canada","47.461871","100.186593","Polar","Zone 2","Low","Primary Storage Hub","Fulfillment Center","250292","Manual","No",\N,\N,\N,\N,\N,\N,\N,\N,"IL_000611","Store","Rack","No","302","In Stock","11-03-26","Retail Optimization Strategy","Min-Max","Forecast_Demand * Risk_Factor","Demand Spike Adjustment","SP_0381","29-02-24","Amazon","Marketplace","Very Large (>100M)","Interest Rate","Canada","Weekly","budget friendly","Grocery","Marketing Trend","Pallet","915","Frozen","PROM_000166","Flash Deal 171","Flash_Sale","2005-09-24","2019-09-24","17.41","CAMP_0744","1"
"18882","P_000428","SKU-858","S_000326","T_000030","SUP_0761","W_0028","PO_000909","TRAN_000909","9","2335.52","490.54","16604.82","1185.91","17790.73","UPI","D_20220727","0","R_000179","C_000889","E_000455","2","Expired","Partial","817.84","Approved","Bank Transfer","No","78.74","RandomForest","ML_Ensemble","18-02-26","20-03-26","654","750","14.68","-96","2304","v10","0.74","05-01-26","IND_000127","3.5","Increasing","13175","111","17","52","1","27-08-25","BATCH_5474","192","25","167","20","39","Normal",\N,\N,\N,\N,\N,\N,"264","27.17","7172.88","Cancelled","6","F_000209","295","2","30-06-24","7","Passed","R_000909","132","101","210","14-10-24","High",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TR_000258","PF_000063","K_000095","9618","4447","4.61","4.03","-0.38","18.58","WS_0909","B_000222","84","163","258","11","WE_000035","L_000794","35","46","44.02","6.2","Rainy","0.6","39.6","Yes","10","ST_000428","SKU-858","Cashew Milk","HeritageFoods","Dairy","Milk","29-10-22","7","Pack","Discontinued","Low","Retail","DailyNeeds 641","1787","20-09-15","Anita Sharma","918135000000","10 AM - 8 PM","Yes","21-03-24","Thursday","12","March","1","Summer","2024","Elite Industries","Wholesaler","Tier 3","Net 30","C_000748","Long-Term","368154","155","2020-07-31","2025-04-08","Trivandrum","Kerala","India","-47.35824","48.521879","Dry","Zone 2","Medium","Logistics Warehouse","Fulfillment Center","487290","Fully Automated","Yes","City Event 170","Technology","Concert","Event about music","03-06-24","06-06-24","Open Grounds",\N,\N,\N,\N,\N,\N,\N,\N,"Seasonal Demand Strategy","Min-Max","Forecast_Demand * Risk_Factor","None","SP_0498","15-04-23","YouTube","Marketplace","Very Large (>100M)","GDP Growth Rate","France","Monthly","seasonal special","Grocery","Marketing Trend","Cold Storage","99","Chilled","PROM_000428","City Bonanza 435","Discount","2027-09-24","2014-10-24","21.43","CAMP_0533","0"
"16162","P_000542","SKU-917","S_000722","T_000190","SUP_0910","W_0032","PO_000014","TRAN_000745","8","3327.6","1.96","26605.12","1790.77","28395.89","Wallet","D_20240312","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"LSTM","DFM_v1","18-02-26","20-03-26","310","360","16.13","-50","625","v10","0.79","26-01-26","IND_000751","4.39","Decreasing","92711",\N,\N,\N,\N,\N,\N,"465","35","430","82","108","Normal","MOV_000468","Inbound","217","2024-05-13 09:49:00","L_0898","L_0539","279","26.22","7315.38","Placed","3","F_000555","323","13","11-07-24","10","Rejected","R_000745","249","82","47","26-10-24","Low",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TR_000315","PF_000012","K_000111","8204","4632","0.32","1.02","-0.45","0.33","WS_0014","B_000306","120","88","221","13","WE_000745","L_000303","21.5","70","10.09","4.2","Sunny","0.26","28.5","No","1","ST_000542","SKU-917","Salted Butter","HeritageFoods","Dairy","Butter","06-03-21","8","Pack","Active","Low","Retail","MegaStore 491","19242","24-09-17","Ravi Kumar","918188000000","10 AM - 8 PM","Yes","11-11-22","Friday","45","November","4","Autumn","2022","Prime Industries","Distributor","Tier 1","Net 30",\N,\N,\N,\N,\N,\N,"Toronto","Ontario","Canada","-5.390654","-149.397958","Tropical","Zone 1","High","Supply Chain Hub","Cold Storage Warehouse","306119","Semi-Automated","No",\N,\N,\N,\N,\N,\N,\N,\N,"IL_000685","Store","Rack","No","12","Low Stock","18-03-26","AI Forecast Strategy","Min-Max","Forecast_Demand * Risk_Factor","None",\N,\N,"YouTube","Social Media","Medium (1M-10M)","Consumer Price Index","UK","Weekly","budget friendly","Beverages","Demand Trend","Rack","888","Ambient","PROM_000542","Super Saver 889","Loyalty_Promo","2029-05-24","2019-06-24","59.92","CAMP_0093","1"
"18667","P_000428","SKU-858","S_000326","T_000030","SUP_0761","W_0028","PO_000909","TRAN_000909","9","2335.52","490.54","16604.82","1185.91","17790.73","UPI","D_20220727","0","R_000179","C_000889","E_000455","2","Expired","Partial","817.84","Approved","Bank Transfer","No","78.74","RandomForest","ML_Ensemble","18-02-26","20-03-26","654","750","14.68","-96","2304","v10","0.74","05-01-26","IND_000127","3.5","Increasing","13175","111","17","52","1","27-08-25","BATCH_5474","192","25","167","20","39","Normal",\N,\N,\N,\N,\N,\N,"264","27.17","7172.88","Cancelled","6","F_000209","295","2","30-06-24","7","Passed","R_000909","132","101","210","14-10-24","High",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TR_000258","PF_000063","K_000095","9618","4447","4.61","4.03","-0.38","18.58","WS_0909","B_000222","84","163","258","11","WE_000035","L_000794","35","46","44.02","6.2","Rainy","0.6","39.6","Yes","10","ST_000428","SKU-858","Cashew Milk","HeritageFoods","Dairy","Milk","29-10-22","7","Pack","Discontinued","Low","Retail","DailyNeeds 641","1787","20-09-15","Anita Sharma","918135000000","10 AM - 8 PM","Yes","06-09-24","Friday","36","September","3","Monsoon","2024","Elite Industries","Wholesaler","Tier 3","Net 30","C_000748","Long-Term","368154","155","2020-07-31","2025-04-08","Trivandrum","Kerala","India","-47.35824","48.521879","Dry","Zone 2","Medium","Logistics Warehouse","Fulfillment Center","487290","Fully Automated","Yes","City Event 170","Technology","Concert","Event about music","03-06-24","06-06-24","Open Grounds",\N,\N,\N,\N,\N,\N,\N,\N,"Seasonal Demand Strategy","Min-Max","Forecast_Demand * Risk_Factor","None","SP_0748","01-11-24","YouTube","Marketplace","Very Large (>100M)","GDP Growth Rate","France","Monthly","seasonal special","Grocery","Marketing Trend","Pallet","864","Controlled","PROM_000428","City Bonanza 435","Discount","2027-09-24","2014-10-24","21.43","CAMP_0533","0"
"5010",\N,"SKU-377","S_000370","T_000097","SUP_0406","W_0037","PO_000469","TRAN_000469","8","2115.79","4.12","16893.36","1280.46","18173.82","Cash","D_20240726","0","R_000754","C_000960","E_000476","2","Expired","Full","318.6","Approved","Bank Transfer","No","45.26","ARIMA","ML_Ensemble","18-02-26","20-03-26","945","929","1.69","16","64","v3","0.74","04-03-26","IND_000002","8.71","Decreasing","52552","259","153","35","0","28-05-25","BATCH_6175",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"375","107.52","40320","Cancelled","4","F_000894","253","22","27-05-24","3","Major Issues","R_000469","300","97","235","30-04-24","Medium","0.98","0.02","0.042","0.92","0.87","4.7",\N,\N,\N,\N,\N,\N,\N,"TR_000244","PF_000152","K_000164","6725","2602","9.56","2.29","-0.6","21.89","WS_0469","B_000421","51","13","81","17","WE_000108","L_000355","38.3","51","10.32","20.6","Cloudy","-0.03","43.4","Yes","9",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Flagship","SmartBuy 732","6238","03-01-19","Arun Das","917233000000","24 Hours","Yes","14-04-23","Friday","15","April","2","Summer","2023","Dynamic Solutions","Wholesaler","Tier 2","Net 60","C_000528","Exclusive","2717777","378","2021-12-16","2024-12-04","Calgary","Alberta","Canada","-19.250216","-84.974503","Temperate","Zone 1","High","Primary Storage Hub","Fulfillment Center","218932","Manual","Yes","Local Event 473","Education","Cultural Fair","Event about music","05-08-24","06-08-24","Convention Center",\N,"IL_000630","Warehouse","Bulk Storage","No","242","In Stock","26-03-26",\N,\N,\N,\N,"SP_0528","13-05-23","Myntra","E-commerce","Small (<1M)","Consumer Price Index","USA","Weekly","discount offer","Grocery","Demand Trend","Rack","322","Chilled",\N,\N,\N,\N,\N,\N,\N,\N
"7240","P_000479","SKU-862","S_000316","T_000105","SUP_0663","W_0033","PO_000082","TRAN_000082","4","1269.62","241.28","4113.36","540.38","4653.74","Wallet","D_20230904","0","R_000290","C_000034","E_000105","0","Customer Dissatisfaction","Full","0","Pending","Store Credit","Yes","0","RandomForest","DFM_v1","18-02-26","20-03-26","998","1033","3.51","-35","306.25","v8","0.93","03-02-26","IND_000142","7.84","Stable","12074",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"176","140.57","24740.32","Shipped","4","F_000376","81","2","21-08-24","7","Passed","R_000082","94","23","380","17-10-24","Medium",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TR_000082","PF_000186","K_000075","7255","1437","3.32","0.63","-0.53","2.09","WS_0082","B_000219","86","24","124","14","WE_000082","L_000749","25.4","82","30.88","12.1","Heatwave","0.92","33.6","No","2","ST_000479","SKU-862","Pineapple Extract","EcoOrchard","Beverages","Juice","10-04-22","401","KG","Active","Low","Franchise","SmartBuy 360","3581","19-04-21","Ravi Kumar","917719000000","9 AM - 9 PM","No","23-03-22","Wednesday","12","March","1","Summer","2022","Elite Industries","Manufacturer","Tier 2","Net 60","C_000274","Annual","625163","193","2020-06-07","2024-12-07","Frankfurt","Hesse","Germany","30.338526","-160.964044","Tropical","Zone 3","Medium","Central Warehouse","Fulfillment Center","362754","Semi-Automated","No","Grand Event 122","Technology","Conference","Event about community","29-06-22","30-06-22","Convention Center",\N,\N,\N,\N,\N,\N,\N,\N,"Seasonal Demand Strategy","EOQ","Avg_Demand * Lead_Time + Safety_Buffer","Supplier Delay Adjustment","SP_0060","19-02-24","YouTube","Social Media","Small (<1M)","Consumer Confidence Index","Brazil","Weekly","seasonal special","Dairy","Demand Trend","Bulk Storage","392","Ambient","PROM_000858","Super Saver 761","Loyalty_Promo","2027-10-23","2029-10-23","26.67","CAMP_0584","0"
"5433","P_000084","SKU-579","S_000278","T_000195","SUP_0493","W_0001","PO_000006","TRAN_000253","2","579.06","93.01","972.1","98.3","1070.4","Credit Card","D_20221210","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"XGBoost","DFM_v2","18-02-26","20-03-26","559","492","11.99","67","1122.25","v8","0.83","10-02-26","IND_000085","4.64","Stable","61991","73","146","24","18","21-06-25","BATCH_5137","345","45","300","92","124","Normal",\N,\N,\N,\N,\N,\N,"325","24.09","7829.25","Cancelled","14","F_000105","156","0","13-01-24","9","Major Issues","R_000253","322","34","93","06-01-24","Low","0.99","2.28","0.009","0.83","0.87","4.1","Yes","0","4.18","3.61","3.09","4.54","83.38","TR_000253","PF_000107","K_000148","6053","1248","3.74","3.28","0.33","12.27","WS_0006","B_000040","390","57","456","9","WE_000140","L_000484","35.1","75","0.76","20.9","Sunny","-0.54","42.6","No","6","ST_000084","SKU-579","Unsalted Butter","UrbanGrind","Dairy","Butter","08-03-23","11","Grams","Active","High","Express","MegaStore 366","12427","09-04-20","Priya Singh","916538000000","9 AM - 9 PM","No","03-06-23","Saturday","22","June","2","Monsoon","2023","United Industries","Distributor","Tier 3","Net 45","C_000381","Exclusive","2196315","816","2021-08-25","2022-11-04","Calgary","Alberta","Canada","47.461871","100.186593","Polar","Zone 2","Low","Primary Storage Hub","Fulfillment Center","250292","Manual","No",\N,\N,\N,\N,\N,\N,\N,\N,"IL_000935","Store","Bulk Storage","No","145","In Stock","28-03-26","Retail Optimization Strategy","Min-Max","Forecast_Demand * Risk_Factor","Demand Spike Adjustment","SP_0381","29-02-24","Amazon","Marketplace","Very Large (>100M)","Interest Rate","Canada","Weekly","budget friendly","Grocery","Marketing Trend","Rack","671","Controlled","PROM_000084","Fest Offer 917","Bundle","2027-02-24","2010-03-24","31.99","CAMP_0965","1"
"7499","P_000255","SKU-90","S_000779","T_000223","SUP_0708","W_0100","PO_000268","TRAN_000268","8","3356","684.33","21373.36","3219.82","24593.18","Credit Card","D_20240305","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"XGBoost","DFM_v2","18-02-26","20-03-26","661","697","5.45","-36","324","v1","0.89","12-03-26","IND_000803","9.05","Decreasing","5189",\N,\N,\N,\N,\N,\N,"201","51","150","98","111","Normal",\N,\N,\N,\N,\N,\N,"220","151.5","33330","Delivered","17",\N,\N,\N,\N,\N,\N,"R_000268","215","43","255","31-08-24","High",\N,\N,\N,\N,\N,\N,"No","6","4.55","3.49","3.11","4.63","91.06","TR_000268","PF_000012","K_000173","3168","2870","2.48","2.81","0.43","6.97","WS_0268","B_000046","57","150","209","2","WE_000268","L_000083","23.8","93","35.94","3.8","Storm","-0.17","33.1","No","2","ST_000255","SKU-90","Cashew Milk","EcoOrchard","Dairy","Milk","12-06-20","14","Liter","Active","Medium","Franchise","MegaStore 340","8565","05-10-17","John Peter","918778000000","8 AM - 10 PM","Yes","25-09-22","Sunday","38","September","3","Monsoon","2022","NextGen Enterprises","Wholesaler","Tier 3","Net 45","C_000316","Short-Term","93702","706","2022-09-25","2023-10-12","Toronto","Ontario","Canada","-80.291602","-165.315006","Tropical","Zone 1","Medium","Supply Chain Hub","Storage Facility","126882","Semi-Automated","No",\N,\N,\N,\N,\N,\N,\N,\N,"IL_000677","Store","Cold Storage","Yes","156","In Stock","16-03-26","Automated Stock Strategy","EOQ","StdDev_Demand * Service_Level","None","SP_0316","26-11-24","YouTube","Social Media","Medium (1M-10M)","Retail Sales Index","India","Yearly","buy one get one","Dairy","Seasonal Trend","Pallet","132","Frozen","PROM_000848","Mega Sale 38","BOGO","2026-08-24","2028-08-24","24.10","CAMP_0275","0"
"15706",\N,"SKU-646","S_000574","T_000067","SUP_0190","W_0096","PO_000617","TRAN_000643","1","147.02","36.08","110.94","15.01","125.95","Cash","D_20220422","1","R_000445","C_000371","E_000343","3","Expired","Partial","2029.1","Pending","Store Credit","No","115.3","LSTM","DFM_v2","18-02-26","20-03-26","925","839","9.3","86","1849","v6","0.76","26-01-26","IND_000060","8.64","Decreasing","47427","165","4","20","10","10-09-25","BATCH_6452",\N,\N,\N,\N,\N,\N,"MOV_000173","Inbound","205","2024-09-13 23:33:00","L_0817","L_0627","488","140.63","68627.44","Placed","16","F_000156","177","14","25-11-24","8","Minor Issues","R_000643","305","139","171","12-12-24","Low","0.8","3.22","0.063","0.81","0.96","3","No","1","4.48","3.99","4.49","3.98","81.31","TR_000263","PF_000180","K_000172","685","3483","7.95","3.99","-0.54","31.72","WS_0617","B_000411","137","44","201","20","WE_000643","L_000173","21.7","40","20.47","27.8","Cloudy","-0.61","25.7","Yes","10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Flagship","SuperMart 595","6307","21-08-22","Arun Das","917726000000","10 AM - 8 PM","Yes","20-09-22","Tuesday","38","September","3","Monsoon","2022","Prime Supplies","Manufacturer","Tier 3","Net 60","C_000459","Strategic","4053788","902","2018-09-02","2020-04-11","Montreal","Quebec","Canada","74.366702","115.313637","Polar","Zone 3","High","Supply Chain Hub","Cold Storage Warehouse","418726","Fully Automated","No","Grand Event 762","Technology","Conference","Event about sports","02-06-24","04-06-24","Community Center",\N,"IL_000719","Warehouse","Shelf","No","155","In Stock","01-04-26",\N,\N,\N,\N,"SP_0459","08-11-24","Instagram","Marketplace","Very Large (>100M)","Industrial Production","UK","Yearly","budget friendly","Beverages","Demand Trend","Rack","799","Ambient",\N,\N,\N,\N,\N,\N,\N,\N
"2969","P_000230","SKU-585","S_000120","T_000275","SUP_0479","W_0037","PO_000072","TRAN_000072","4","4656.84","1088.67","14272.68","856.76","15129.44","Cash","D_20220408","2","R_000422","C_000471","E_000201","3","Expired","Full","606.06","Pending","Bank Transfer","No","75.2","Prophet","ML_Ensemble","18-02-26","20-03-26","916","945","3.17","-29","210.25","v1","0.71","07-02-26","IND_000449","8.47","Increasing","80675",\N,\N,\N,\N,\N,\N,"284","45","239","39","83","Normal","MOV_000623","Outbound","140","2024-01-11 18:12:00","L_0942","L_0330","138","174.87","24132.06","Shipped","17","F_000762","273","20","29-01-24","0","Minor Issues","R_000072","171","142","277","02-12-24","Medium","0.9","5.9","0.024","1","0.9","4.1",\N,\N,\N,\N,\N,\N,\N,"TR_000072","PF_000011","K_000070","8662","2914","0.68","3.04","-0.84","2.07","WS_0072","B_000377","113","88","206","5","WE_000072","L_000126","26.6","70","36.17","6.8","Rainy","0.33","33.6","No","5","ST_000230","SKU-585","Salted Butter","EcoOrchard","Dairy","Butter","21-08-22","14","KG","Active","High","Franchise","SmartBuy 474","7979","07-09-16","Anita Sharma","918344000000","9 AM - 9 PM","No","02-04-24","Tuesday","14","April","2","Summer","2024","Apex Traders","Wholesaler","Tier 3","Net 45",\N,\N,\N,\N,\N,\N,"Madurai","Tamil Nadu","India","6.830417","-151.524234","Dry","Zone 3","Medium","Primary Storage Hub","Fulfillment Center","218932","Manual","Yes","Global Event 423","Sports","Cultural Fair","Event about food","07-04-24","12-04-24","Stadium",\N,\N,\N,\N,\N,\N,\N,\N,"AI Forecast Strategy","EOQ","Demand * Lead_Time","Weather Adjustment",\N,\N,"Facebook","E-commerce","Small (<1M)","Industrial Production","Australia","Yearly","new arrival","Dairy","Consumer Trend","Pallet","183","Chilled","PROM_000230","Super Saver 401","BOGO","2016-06-23","2027-06-23","52.87","CAMP_0863","1"
